dictionary,form,tense,mood,voice,gender

amo/amare/amavi/amatus,amet,present,subjunctive,active,NA
amo/amare/amavi/amatus,amaretur,imperfect,subjunctive,passive,NA

duco/ducere/duxi/ductus,ducat,present,subjunctive,active,NA
duco/ducere/duxi/ductus,duceret,imperfect,subjunctive,active,NA

capio/capere/cepi/captus,capiatur,present,subjunctive,passive,NA
capio/capere/cepi/captus,capiebatur,imperfect,indicative,passive,NA

video/vidēre/vidi/visus,videret,imperfect,subjunctive,active,NA
video/vidēre/vidi/visus,videretur,imperfect,subjunctive,passive,NA
